6.283186	-0.000001	6.283186	-0.000001	0.000020	1.000000
552.920308	-0.000000	590.619420	-0.000000	0.000022	15.000000
-262.835197	2.316523	-1128.669584	0.144208	0.000157	15.000000
-0.030752	6.648560	2098.793168	-8.479776	0.000164	1.000000
1.240282	3.107769	-1590.494606	1.477690	0.000159	0.000050
1.001591	-2.632716	-647.817573	3.552798	0.000231	0.000001
-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	0.000001
-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	1.000000
-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	1.000000
-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	1.000000
-1395.336190	-4.209683	-680.957620	-0.340288	0.000000	1.000000
-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	1.000000
6.283186	-0.000001	6.283186	-0.000001	-0.000002	1.000000
-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	1.000000
-0.000000	0.000003	-0.000000	0.000004	-0.000007	15.000000
1.014155	0.525591	1.057008	0.582916	0.000107	15.000000
-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	1.000000
-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	1.000000
1.014155	0.525591	1.057008	0.582916	0.000108	15.000000
-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	5.000000
-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	5.000000
-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	5.000000
31.378803	-0.050404	37.646610	-0.071076	0.000126	5.000000
31.378803	-0.050404	37.646610	-0.071076	0.000001	5.000000
0.785398	-nan(ind)	0.785398	0.000000	-nan(ind)	5.000000
0.785398	-nan(ind)	0.785398	0.000000	-nan(ind)	5.000000
0.523599	1.028167	0.523599	0.000000	-0.000001	5.000000
0.000000	1.000000	0.000000	0.000000	-0.000002	1.000000
0.000000	1.000000	0.000000	0.000000	-0.000002	1.000000
0.000000	1.000000	0.000000	0.000000	-0.000002	1.000000
-132.457018	2.525896	-302.893887	747420523467142272.000000	-nan(ind)	15.000000
0.170209	-3.870118	-16.641669	-0.637146	0.137868	15.000000
