# divisiones del retículo (N)   tiempo(s)
120	1.2530
160	1.6710
200	2.1130
240	2.5310
280	2.9480	
320	3.3890
360	3.8580
400	4.1240	
440	4.6470	
480	5.1150	
520	5.4390	
560	5.9280	
600	6.3550
