# iteraciones (n)   tiempo(s)
1000  		0.0079
2500 		0.0193  	
5000		0.0387	
10000		0.0581
25000		0.0963
50000		0.1774
100000		0.3086
250000		0.3086	
500000		1.4867	
1000000		2.9867	
2500000		7.4765
5000000		14.9590	
10000000 	29.5212
