# iteraciones (n)   tiempo(s)
10000   0.0589
25000   0.1016	
50000	0.1765
75000	0.2491
125000	0.4062	
250000	0.7618
500000	1.4953
1000000	3.0731	
1500000	4.6391	
2000000	6.2488	
2500000	7.9099	
3000000	9.3526	
5000000	15.8027
