# iteraciones (n)   tiempo(s)
10000   0.0680
25000   0.1390	
50000	0.2820
75000	0.4190
125000	0.7050	
250000	1.3920
500000	2.7730
1000000	5.6910	
1500000	8.3780	
2000000	11.1840	
2500000	14.2090	
3000000	17.1440	
5000000	28.6210
